id,conversation,score_specificity_llm,score_specificity_human,performance
chat_1,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I would like to catch up on my geography reading
CHATBOT: Add details to make your goal more specific.
STUDENT: I need to either read the book from last week and this week, or read my friends notes on the reading to take notes of my own so I dont fall behind.
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: by the number of pages I write per day
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: It is important to achieve because if I dont, I will fall behind and most likely wont be ready for the exam.
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: 1. evaluate how much there is to do 
2. get help from my friends 
3. takes notes day by day",1,1,3.5
chat_2,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I would like write notes on theme 1 from my mathematics course. 
CHATBOT: Add details to make your goal more specific.
STUDENT: I will take notes on Chapter 1 from the Basic Algebra book and the two articles that belonged to theme 1
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: I will split it into three parts. First the book chapter, then the first article and lastly the second article. When there is well written notes that sums up the important parts from the reading i will have achieved my goal.
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: By achieving this goal I will remember and understand the material better, which will make it easier so study for the upcoming exam. I will not feel as overwhelmed as for earlier exam because I have made good notes that I can go through instead of going through all the materials.
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: 1. Go to a nice cafe where I can study uninterrupted 
2. Read through the highlighted parts of the book chapter and simultaneously write down notes for it. 
3. Read through the highlighted parts of the first article and simultaneously write down notes for it. 
4. Read through the highlighted parts of the second article and simultaneously write down notes for it. 
5. Red over all the notes and check that it makes sense and give a good summary of the important parts of the material.",2,2,6.8
chat_3,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: To not procastinate
CHATBOT: Add details to make your goal more specific.
STUDENT: To not spend a lot of time on my phone, and leave a lot of the reading till the last minute, and not late into the night
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: By finishing work at a certain time of the day
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: To help me strategically work, and study smart
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: 1. I will reduce my phone time 
2. I will organize my workload 
3. I will spread my workload evenly across the week",0,0,6.7
chat_4,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I would like to start studying earlier (right after class).
CHATBOT: Add details to make your goal more specific.
STUDENT: Once I finish class, and after going to the gym, I will try to make a start to the reading for next class. I want to do this because I will at least have made some progress before going home and relaxing.
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: I want to start small, so I should read minimum a quarter of the readings for next class before going home. If I go home before reading, I will have failed my goal.
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: This will help me because I tend to procrastinate everything till the last minute. By making a start early, I will have more time for other things and feel more motivated to continue reading later on. It will feel less daunting when I have already read something.
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: 1. After class, find a quiet spot on campus.
2. Read at least one quarter of the readings.
3. Profit.",1,1,7.3
chat_5,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I want to watch the first lecture of history.
CHATBOT: Add details to make your goal more specific.
STUDENT: I want to watch the lecture, make notes while listening and make the exercises from that week
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: Evaluating moments? Lets do Friday an evaluating moment
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: I have in 2 months the resits of this. I really want to get my degree next year, so I want to pass this exam.
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: 1. Watch the lectures, also taking notes 
2. Make the exercises of that week 
3. Check my answers",1,1,5.8
chat_6,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: Doing the reading and taking notes before class
CHATBOT: Add details to make your goal more specific.
STUDENT: I would like to read the given pages before my classes, which are on Mondays, Wednesdays, and Thursdays. Each class requires us to have read certain pages and articles, and then discuss in class. However, I have troubles which time management, which is why I never get the reading done in time and then cram before exams
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: I will measure my progress by examinig the notes I have prepared for every class, and we can measure if Ive achieved it by maybe asking some questions about the literature?
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: Because cramming all the material before exams has had a severe impact on my grades, and Im trying to fix my average with the upcoming exams, so I need to ensure that my method will give me best results
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: Start every preperation with a video explaining the concept briefly, then read the literature while taking notes by hand. Have all this done latest a day before the lesson.",1,1,6.4
chat_7,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I want to understand and summarize this weeks literature for my Philosophy course.
CHATBOT: Add details to make your goal more specific.
STUDENT: This week, I have to read several pages of academic literature regarding the Philosophy course. We have a weekly in-class meeting in which we discuss the contents of the literature. My concrete goal is to have read and summarized all of the literature of this week before the tutorial meeting.
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: The literature consists of multiple pagesorchapters, I can measure the number of pages I have processed as well as the number I still need to read.
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: By keeping up with the weekly literature, I am spreading the workload across this Block, which I know is an effective learning method (especially compared to cramping in lots of information around the exam).
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: At the start of the week, I will make a planning for every weekday, specifying what parts of the literature I will read and summarize on what moment. I will check this planning at the start of the day and in-between tasks.",2,1,5.9
chat_8,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I want to get my motivation back to study
CHATBOT: Add details to make your goal more specific.
STUDENT: Be happier while studying, focusing on the reason again why I chose this study, feeling enthusiastic and motivated when I have to study, be more efficient in planning, be more assertive during classes and contacting supervisors, feeling more relaxed while studying and less stressed out
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: Measure by subjective feelings, so how am I feeling that day when studying? Also measure by productivity, how much can I get done in that period of time and is that different from before? Measure by the amount of work Im planning each week on my studies. But I dont know how to get more assertive
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: Because studying has always been an important part of my life for me and because I wanted to keep studying I feel the pressure of succeeding. Right now Im not enjoying my study like I used to and am just looking forward to my master (if I find an internship) so I can go to work. But learning will always be an important part of my work so I need to be motivated to go back to school and keep up with scientific literature. If I want to do healthcare psychology I need to keep this pace up.
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: - Planning my studyhours everyday before studying 
- Planning a period of time in the morning to set up my studywork, making a plan on how to work on my studyload that day 
- Do the work 
- Take regular breaks, every 50 minutes. Use 10 minutes to relax, read, play a game, watch Netflix for a bit 
- At the end of the studyblock, write down any feelings about how it went 
- Reflect on the amount of work done 
- Reflect on the planning this week overall",0,0,7.6
chat_9,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: I would like to keep on track with the readings I have to do
CHATBOT: Add details to make your goal more specific.
STUDENT: Every week we have two tutorials, which are smaller groups, where we have a debate about the readings we have done before. Each week for both of them we have more than 100 pages to read and we need to arrive prepared at the tutorial. So I would like to manage better my time in order to arrive prepared at every tutorial with all the readings well done
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: I can decide how many pages I have to study each day
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: I think is good because it will help me in manage my time better, but also i will have more time for myself, for working, hanging out with friends. I also think is fundamental to learn how to manage many things all together at the same time now at university, because later on it will be even worse
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: At first I will count all the pages i have to do, so that i know exactly how much work is, after I will take the calendar and i will divide the work for every day, writing precisely how many pages i should do each day. After that, every day i will try to stick to the plan as much as possible and maybe to motivate myself, I will decide a reward that I can have just if i manage to do everything that was written in the plan of the day",1,1,7.6
chat_10,"CHATBOT: Set an academic goal for the upcoming week.
STUDENT: Reading all the literature given
CHATBOT: Add details to make your goal more specific.
STUDENT: Each week I am given 8 articles to read. We cover 2 topics and half the articles about the first topic and half are about the second topic. Usually I am not able to finish reading all of the articles before the class while it is necessary to be able to participate well. So Id like to read all the articles before class.
CHATBOT: How will you measure progress on and acheivement of your goal?
STUDENT: Count how many articles I read before class.
CHATBOT: Why is this goal important to you in the context of your prior experiences and future goals?
STUDENT: By completing this goal, I will be better set up for passing the course exam.
CHATBOT: Create a step-by-step plan for achieving this goal in the coming week.
STUDENT: 1: make a schedule of the days I will read each article
2: make sure there are no distractions",2,2,7
chat_11,,1,,6.6
chat_12,,1,1,7.7
chat_13,,0,0,6.5
chat_14,,2,,
chat_15,,2,,8.1
chat_16,,2,2,7.8
chat_17,,0,,8
chat_18,,1,2,8.7
chat_19,,1,,6.2
chat_20,,1,1,7.1
chat_21,,2,,8
chat_22,,1,,7.7
chat_23,,0,0,6.1
